"ID","Type","Name","Documentation","Specialization"
"id-54525ee5","ArchimateModel","ArchiMetal_ApplicationArchitecture","This Case Study demonstrates the value of the ArchiMate 2.1 modeling language for planning and expressing complex business transformation.

The Case Study is about a fictitious manufacturer named ArchiMetal. Through high-level architecture modeling, the ArchiMate language illuminates the coherence between an organization, and its processes, applications, and infrastructure. This Case Study presents examples of ArchiMate models that can be elaborated as necessary for analysis, communication, decision support, and implementation.",""
"id-17598","BusinessActor","ArchiBuilder","",""
"id-10762","BusinessActor","ArchiMetal","",""
"id-14299","BusinessActor","Business actor","",""
"id-17713","BusinessActor","Business actor (4)","",""
"id-13813","BusinessActor","Business intelligence analysi","",""
"id-10776","BusinessActor","Commercial","",""
"id-14083","BusinessActor","Contact","",""
"id-13814","BusinessActor","Contact center agent","",""
"id-13808","BusinessActor","Credit","",""
"id-13806","BusinessActor","Customer","",""
"id-13807","BusinessActor","Customer Contact","",""
"id-10777","BusinessActor","Customer relations","",""
"id-14536","BusinessActor","Customer service","",""
"id-10773","BusinessActor","DC Benelux","",""
"id-10764","BusinessActor","DC East Europe","",""
"id-10765","BusinessActor","DC Spain","",""
"id-10775","BusinessActor","Distribution","",""
"id-7421","BusinessActor","Enterprise","",""
"id-10781","BusinessActor","Finance","",""
"id-17711","BusinessActor","Head of manufacturing","",""
"id-17712","BusinessActor","Head of sales","",""
"id-10778","BusinessActor","HQ","",""
"id-10783","BusinessActor","HR","",""
"id-14084","BusinessActor","Lead","",""
"id-10772","BusinessActor","Logistics","",""
"id-14329","BusinessActor","Logistics Partner","",""
"id-17715","BusinessActor","Logistics planner","",""
"id-17716","BusinessActor","Manufacturing engineer","",""
"id-17714","BusinessActor","Manufacturing planner","",""
"id-13809","BusinessActor","Marketing","",""
"id-14085","BusinessActor","Opportunity","",""
"id-10770","BusinessActor","Procurement","",""
"id-10768","BusinessActor","Production","",""
"id-10766","BusinessActor","Production center","",""
"id-17592","BusinessActor","Purchasing agent","",""
"id-10780","BusinessActor","QualityMgt","",""
"id-10771","BusinessActor","Sales","",""
"id-13810","BusinessActor","Sales manager","",""
"id-13811","BusinessActor","Sales professional","",""
"id-13812","BusinessActor","Service professional","",""
"id-14328","BusinessActor","Supplier","",""
"id-13815","BusinessActor","Supply partner","",""
"id-17717","BusinessActor","Transportation company","",""
"id-13816","BusinessActor","Transportation partner","",""
"id-18118","BusinessCollaboration","Business Collaboration","",""
"id-11009","BusinessEvent","Bulk order feedback","",""
"id-18120","BusinessEvent","Contract in place","",""
"id-11007","BusinessEvent","Customer order","",""
"id-14541","BusinessEvent","Customer order registered","",""
"id-14540","BusinessEvent","Customer order update","",""
"id-11010","BusinessEvent","Day end","",""
