"ID","Type","Name","Documentation","Source","Target","Specialization"
"Access_Artifact-001_Artifact-001","AccessRelationship","Access Artifact-001 Artifact-001","","Artifact-001","Artifact-001",""
"Access_Grouping-001_Grouping-001","AccessRelationship","Access Grouping-001 Grouping-001","","Grouping-001","Grouping-001",""
"Aggregation_ApplicationCollaboration-001_ApplicationCollaboration-001","AggregationRelationship","Aggregation ApplicationCollaboration-001 ApplicationCollaboration-001","","ApplicationCollaboration-001","ApplicationCollaboration-001",""
"Aggregation_ApplicationComponent-001_ApplicationComponent-001","AggregationRelationship","Aggregation ApplicationComponent-001 ApplicationComponent-001","","ApplicationComponent-001","ApplicationComponent-001",""
"Aggregation_ApplicationEvent-001_ApplicationEvent-001","AggregationRelationship","Aggregation ApplicationEvent-001 ApplicationEvent-001","","ApplicationEvent-001","ApplicationEvent-001",""
"Aggregation_ApplicationFunction-001_ApplicationFunction-001","AggregationRelationship","Aggregation ApplicationFunction-001 ApplicationFunction-001","","ApplicationFunction-001","ApplicationFunction-001",""
"Aggregation_ApplicationInteraction-001_ApplicationInteraction-001","AggregationRelationship","Aggregation ApplicationInteraction-001 ApplicationInteraction-001","","ApplicationInteraction-001","ApplicationInteraction-001",""
"Aggregation_ApplicationInterface-001_ApplicationInterface-001","AggregationRelationship","Aggregation ApplicationInterface-001 ApplicationInterface-001","","ApplicationInterface-001","ApplicationInterface-001",""
"Aggregation_ApplicationProcess-001_ApplicationProcess-001","AggregationRelationship","Aggregation ApplicationProcess-001 ApplicationProcess-001","","ApplicationProcess-001","ApplicationProcess-001",""
"Aggregation_ApplicationService-001_ApplicationService-001","AggregationRelationship","Aggregation ApplicationService-001 Product-001","","ApplicationService-001","ApplicationService-001",""
"Aggregation_Artifact-001_Artifact-001","AggregationRelationship","Aggregation Artifact-001 Artifact-001","","Artifact-001","Artifact-001",""
"Aggregation_Assessment-001_Assessment-001","AggregationRelationship","Aggregation Assessment-001 Assessment-001","","Assessment-001","Assessment-001",""
"Aggregation_BusinessActor-001_BusinessActor-001","AggregationRelationship","Aggregation BusinessActor-001 BusinessActor-001","","BusinessActor-001","BusinessActor-001",""
"Aggregation_BusinessCollaboration-001_BusinessCollaboration-001","AggregationRelationship","Aggregation BusinessCollaboration-001 BusinessCollaboration-001","","BusinessCollaboration-001","BusinessCollaboration-001",""
"Aggregation_BusinessEvent-001_BusinessEvent-001","AggregationRelationship","Aggregation BusinessEvent-001 BusinessEvent-001","","BusinessEvent-001","BusinessEvent-001",""
"Aggregation_BusinessFunction-001_BusinessFunction-001","AggregationRelationship","Aggregation BusinessFunction-001 BusinessFunction-001","","BusinessFunction-001","BusinessFunction-001",""
"Aggregation_BusinessInteraction-001_BusinessInteraction-001","AggregationRelationship","Aggregation BusinessInteraction-001 BusinessInteraction-001","","BusinessInteraction-001","BusinessInteraction-001",""
"Aggregation_BusinessInterface-001_BusinessInterface-001","AggregationRelationship","Aggregation BusinessInterface-001 BusinessInterface-001","","BusinessInterface-001","BusinessInterface-001",""
"Aggregation_BusinessObject-001_BusinessObject-001","AggregationRelationship","Aggregation BusinessObject-001 BusinessObject-001","","BusinessObject-001","BusinessObject-001",""
"Aggregation_BusinessProcess-001_BusinessProcess-001","AggregationRelationship","Aggregation BusinessProcess-001 BusinessProcess-001","","BusinessProcess-001","BusinessProcess-001",""
"Aggregation_BusinessRole-001_BusinessRole-001","AggregationRelationship","Aggregation BusinessRole-001 BusinessRole-001","","BusinessRole-001","BusinessRole-001",""
"Aggregation_BusinessService-001_BusinessService-001","AggregationRelationship","Aggregation BusinessService-001 BusinessService-001","","BusinessService-001","BusinessService-001",""
"Aggregation_Capability-001_Capability-001","AggregationRelationship","Aggregation Capability-001 Capability-001","","Capability-001","Capability-001",""
"Aggregation_CommunicationNetwork-001_CommunicationNetwork-001","AggregationRelationship","Aggregation CommunicationNetwork-001 CommunicationNetwork-001","","CommunicationNetwork-001","CommunicationNetwork-001",""
"Aggregation_Constraint-001_Constraint-001","AggregationRelationship","Aggregation Constraint-001 Constraint-001","","Constraint-001","Constraint-001",""
"Aggregation_Contract-001_Contract-001","AggregationRelationship","Aggregation Contract-001 Contract-001","","Contract-001","Contract-001",""
"Aggregation_CourseOfAction-001_CourseOfAction-001","AggregationRelationship","Aggregation CourseOfAction-001 CourseOfAction-001","","CourseOfAction-001","CourseOfAction-001",""
"Aggregation_DataObject-001_DataObject-001","AggregationRelationship","Aggregation DataObject-001 DataObject-001","","DataObject-001","DataObject-001",""
"Aggregation_Deliverable-001_Deliverable-001","AggregationRelationship","Aggregation Deliverable-001 Deliverable-001","","Deliverable-001","Deliverable-001",""
"Aggregation_Device-001_Device-001","AggregationRelationship","Aggregation Device-001 Device-001","","Device-001","Device-001",""
"Aggregation_DistributionNetwork-001_DistributionNetwork-001","AggregationRelationship","Aggregation DistributionNetwork-001 DistributionNetwork-001","","DistributionNetwork-001","DistributionNetwork-001",""
"Aggregation_Driver-001_Driver-001","AggregationRelationship","Aggregation Driver-001 Driver-001","","Driver-001","Driver-001",""
"Aggregation_Equipment-001_Equipment-001","AggregationRelationship","Aggregation Equipment-001 Equipment-001","","Equipment-001","Equipment-001",""
"Aggregation_Facility-001_Facility-001","AggregationRelationship","Aggregation Facility-001 Facility-001","","Facility-001","Facility-001",""
"Aggregation_Gap-001_Gap-001","AggregationRelationship","Aggregation Gap-001 Gap-001","","Gap-001","Gap-001",""
"Aggregation_Goal-001_Goal-001","AggregationRelationship","Aggregation Goal-001 Goal-001","","Goal-001","Goal-001",""
"Aggregation_Grouping-001_Grouping-001","AggregationRelationship","Aggregation Grouping-001 Grouping-001","","Grouping-001","Grouping-001",""
"Aggregation_ImplementationEvent-001_ImplementationEvent-001","AggregationRelationship","Aggregation ImplementationEvent-001 ImplementationEvent-001","","ImplementationEvent-001","ImplementationEvent-001",""
"Aggregation_Location-001_Location-001","AggregationRelationship","Aggregation Location-001 Location-001","","Location-001","Location-001",""
"Aggregation_Material-001_Material-001","AggregationRelationship","Aggregation Material-001 Material-001","","Material-001","Material-001",""
"Aggregation_Meaning-001_Meaning-001","AggregationRelationship","Aggregation Meaning-001 Meaning-001","","Meaning-001","Meaning-001",""
"Aggregation_Node-001_Node-001","AggregationRelationship","Aggregation Node-001 Node-001","","Node-001","Node-001",""
"Aggregation_Outcome-001_Outcome-001","AggregationRelationship","Aggregation Outcome-001 Outcome-001","","Outcome-001","Outcome-001",""
"Aggregation_Path-001_Path-001","AggregationRelationship","Aggregation Path-001 Path-001","","Path-001","Path-001",""
"Aggregation_Plateau-001_Plateau-001","AggregationRelationship","Aggregation Plateau-001 Plateau-001","","Plateau-001","Plateau-001",""
"Aggregation_Principle-001_Principle-001","AggregationRelationship","Aggregation Principle-001 Principle-001","","Principle-001","Principle-001",""
"Aggregation_Product-001_Product-001","AggregationRelationship","Aggregation Product-001 Product-001","","Product-001","Product-001",""
